area_type,availability,location,size,society,total_sqft,bath,balcony,price,floor,furnishing
Built-up,Under Construction,Wakad,1 BHK,Society5,800,2,3,64.73,3rd,Unfurnished
Built-up,Ready To Move,Magarpatta,3 BHK,Society4,1200,3,3,95.89,3rd,Unfurnished
Super Built-up,Ready To Move,Sadashiv Peth,3 BHK,Society5,1200,4,1,51.4,Ground,Unfurnished
Carpet,Under Construction,Pimpri-Chinchwad,2 BHK,Society3,1000,2,3,62.08,2nd,Unfurnished
Carpet,Under Construction,Aundh,1 BHK,Society2,800,1,2,92.79,4th,Unfurnished
Carpet,Under Construction,Hadapsar,1 BHK,Society3,800,4,2,49.59,3rd,Fully Furnished
Carpet,Under Construction,Kothrud,4 BHK,Society4,1500,3,2,78.88,1st,Unfurnished
Carpet,Under Construction,Magarpatta,2 BHK,Society3,1000,3,3,93.92,1st,Fully Furnished
Super Built-up,Under Construction,Pashan,4 BHK,Society1,1500,3,1,68.82,Top,Unfurnished
Super Built-up,Under Construction,Magarpatta,2 BHK,Society4,1000,3,3,93.7,5th,Unfurnished
Carpet,Ready To Move,Wakad,1 BHK,Society2,800,1,3,65.17,5th,Semi-Furnished
Super Built-up,Under Construction,Aundh,1 BHK,Society4,800,1,2,92.38,4th,Semi-Furnished
Carpet,Ready To Move,Hadapsar,2 BHK,Society2,1000,4,1,53.58,1st,Semi-Furnished
Super Built-up,Ready To Move,Pimpri-Chinchwad,2 BHK,Society5,1000,4,2,62.25,4th,Unfurnished
Carpet,Under Construction,Kothrud,3 BHK,Society4,1200,2,1,75.11,Ground,Fully Furnished
Carpet,Ready To Move,Aundh,2 BHK,Society5,1000,4,2,95.77,4th,Semi-Furnished
Built-up,Ready To Move,Baner,1 BHK,Society1,800,1,1,95.06,2nd,Semi-Furnished
Built-up,Under Construction,Viman Nagar,1 BHK,Society2,800,1,3,95.05,2nd,Fully Furnished
Carpet,Under Construction,Pashan,1 BHK,Society4,800,3,3,59.19,5th,Semi-Furnished
Built-up,Ready To Move,Viman Nagar,3 BHK,Society5,1200,3,2,100.03,5th,Fully Furnished
Built-up,Under Construction,Kharadi,2 BHK,Society3,1000,1,3,93.79,2nd,Semi-Furnished
Built-up,Ready To Move,Shivaji Nagar,1 BHK,Society1,800,2,2,85.91,3rd,Semi-Furnished
Carpet,Under Construction,Pimpri-Chinchwad,3 BHK,Society5,1200,2,1,65.36,Ground,Unfurnished
Carpet,Under Construction,Wakad,1 BHK,Society5,800,4,2,64.59,4th,Fully Furnished
Super Built-up,Under Construction,Pimpri-Chinchwad,4 BHK,Society1,1500,3,2,68.95,Top,Unfurnished
Carpet,Under Construction,Baner,3 BHK,Society5,1200,2,1,101.22,2nd,Semi-Furnished
Carpet,Under Construction,Hadapsar,1 BHK,Society4,800,4,1,49.6,5th,Unfurnished
Super Built-up,Ready To Move,Baner,2 BHK,Society4,1000,1,3,98.06,3rd,Semi-Furnished
Carpet,Ready To Move,Viman Nagar,4 BHK,Society1,1500,2,2,103.16,1st,Unfurnished
Built-up,Under Construction,Kharadi,4 BHK,Society5,1500,3,1,97.51,Top,Unfurnished
Super Built-up,Ready To Move,Magarpatta,1 BHK,Society3,800,2,3,90.17,5th,Fully Furnished
Carpet,Ready To Move,Wakad,1 BHK,Society5,800,2,2,65.14,3rd,Unfurnished
Super Built-up,Ready To Move,Kharadi,2 BHK,Society2,1000,4,3,92.9,Ground,Semi-Furnished
Built-up,Under Construction,Viman Nagar,2 BHK,Society4,1000,3,2,97.7,3rd,Unfurnished
Built-up,Under Construction,Sadashiv Peth,3 BHK,Society3,1200,3,3,50.89,1st,Semi-Furnished
Carpet,Ready To Move,Pashan,4 BHK,Society1,1500,1,3,68.4,2nd,Fully Furnished
Built-up,Ready To Move,Magarpatta,3 BHK,Society4,1200,2,3,96.95,Ground,Semi-Furnished
Super Built-up,Under Construction,Hinjawadi,3 BHK,Society3,1200,3,3,91.4,1st,Unfurnished
Built-up,Under Construction,Shivaji Nagar,1 BHK,Society4,800,3,3,85.01,Ground,Unfurnished
Super Built-up,Under Construction,Baner,3 BHK,Society2,1200,4,3,100.63,Top,Unfurnished
Built-up,Under Construction,Kothrud,2 BHK,Society5,1000,3,2,72.37,3rd,Semi-Furnished
Super Built-up,Under Construction,Kharadi,4 BHK,Society3,1500,1,3,98.62,Ground,Semi-Furnished
Built-up,Under Construction,Kharadi,1 BHK,Society3,800,2,3,90.36,5th,Semi-Furnished
Built-up,Under Construction,Hinjawadi,2 BHK,Society3,1000,3,3,87.85,Top,Semi-Furnished
Super Built-up,Under Construction,Sadashiv Peth,4 BHK,Society4,1500,1,1,52.03,1st,Unfurnished
Carpet,Ready To Move,Kharadi,4 BHK,Society1,1500,4,1,98.88,5th,Fully Furnished
Carpet,Ready To Move,Viman Nagar,1 BHK,Society2,800,3,3,94.19,Top,Unfurnished
Carpet,Under Construction,Hinjawadi,3 BHK,Society1,1200,3,1,90.01,2nd,Unfurnished
Carpet,Ready To Move,Kothrud,2 BHK,Society4,1000,1,2,73.78,Ground,Fully Furnished
Super Built-up,Ready To Move,Pimpri-Chinchwad,3 BHK,Society4,1200,4,3,65.08,2nd,Semi-Furnished
Super Built-up,Under Construction,Hinjawadi,1 BHK,Society4,800,2,2,84.62,3rd,Unfurnished
Super Built-up,Under Construction,Shivaji Nagar,1 BHK,Society5,800,3,1,85.92,Ground,Unfurnished
Super Built-up,Under Construction,Aundh,4 BHK,Society4,1500,4,1,100.49,5th,Fully Furnished
Carpet,Under Construction,Hadapsar,1 BHK,Society5,800,2,3,50.59,1st,Unfurnished
Carpet,Under Construction,Wakad,4 BHK,Society3,1500,3,3,72.61,3rd,Unfurnished
Super Built-up,Ready To Move,Sadashiv Peth,1 BHK,Society4,800,3,1,45.45,4th,Fully Furnished
Carpet,Under Construction,Aundh,3 BHK,Society4,1200,2,1,98.49,3rd,Unfurnished
Built-up,Under Construction,Sadashiv Peth,2 BHK,Society3,1000,1,2,48.2,5th,Unfurnished
Built-up,Under Construction,Magarpatta,1 BHK,Society3,800,2,2,90.72,3rd,Fully Furnished
Super Built-up,Ready To Move,Shivaji Nagar,4 BHK,Society3,1500,2,3,92.59,4th,Unfurnished
Built-up,Ready To Move,Shivaji Nagar,3 BHK,Society4,1200,2,1,91.85,2nd,Semi-Furnished
Built-up,Ready To Move,Aundh,3 BHK,Society2,1200,1,1,98.19,3rd,Fully Furnished
Carpet,Ready To Move,Shivaji Nagar,1 BHK,Society1,800,2,3,85.83,2nd,Fully Furnished
Built-up,Under Construction,Pashan,4 BHK,Society1,1500,1,2,67.08,4th,Unfurnished
Built-up,Ready To Move,Aundh,2 BHK,Society3,1000,4,2,95.68,2nd,Semi-Furnished
Carpet,Ready To Move,Hadapsar,2 BHK,Society5,1000,4,3,52.64,2nd,Unfurnished
Super Built-up,Ready To Move,Pashan,3 BHK,Society1,1200,3,3,65.42,Ground,Semi-Furnished
Built-up,Ready To Move,Hinjawadi,3 BHK,Society1,1200,2,3,90.49,2nd,Fully Furnished
Super Built-up,Ready To Move,Hinjawadi,2 BHK,Society3,1000,4,3,88.87,4th,Fully Furnished
Built-up,Ready To Move,Wakad,1 BHK,Society5,800,2,3,65.39,1st,Semi-Furnished
Carpet,Under Construction,Viman Nagar,3 BHK,Society1,1200,2,1,101.08,Top,Unfurnished
Super Built-up,Under Construction,Shivaji Nagar,1 BHK,Society1,800,3,3,84.3,5th,Semi-Furnished
Carpet,Under Construction,Viman Nagar,4 BHK,Society3,1500,2,2,103.73,3rd,Semi-Furnished
Built-up,Under Construction,Kharadi,4 BHK,Society3,1500,4,2,98.73,4th,Unfurnished
Super Built-up,Ready To Move,Hadapsar,1 BHK,Society2,800,3,3,50.42,5th,Fully Furnished
Built-up,Under Construction,Kharadi,3 BHK,Society3,1200,3,1,95.2,4th,Fully Furnished
Carpet,Ready To Move,Shivaji Nagar,3 BHK,Society2,1200,1,2,91.01,3rd,Unfurnished
Built-up,Ready To Move,Hinjawadi,3 BHK,Society5,1200,3,2,91.89,3rd,Fully Furnished
Super Built-up,Ready To Move,Baner,2 BHK,Society3,1000,3,1,98.58,2nd,Unfurnished
Carpet,Ready To Move,Kharadi,4 BHK,Society5,1500,3,1,97.65,1st,Semi-Furnished
Super Built-up,Under Construction,Wakad,2 BHK,Society4,1000,3,2,67.21,4th,Fully Furnished
Built-up,Under Construction,Kothrud,2 BHK,Society3,1000,4,1,72.91,Top,Semi-Furnished
Built-up,Under Construction,Hadapsar,1 BHK,Society2,800,3,2,49.08,3rd,Unfurnished
Built-up,Under Construction,Kharadi,1 BHK,Society2,800,1,1,89.08,1st,Unfurnished
Built-up,Under Construction,Kothrud,2 BHK,Society3,1000,4,3,72.08,3rd,Unfurnished
Super Built-up,Ready To Move,Pashan,4 BHK,Society5,1500,2,2,68.36,4th,Unfurnished
Carpet,Under Construction,Pashan,3 BHK,Society5,1200,2,2,66.57,2nd,Semi-Furnished
Carpet,Ready To Move,Magarpatta,2 BHK,Society4,1000,1,2,92.16,4th,Semi-Furnished
Carpet,Under Construction,Shivaji Nagar,4 BHK,Society2,1500,1,2,93.96,1st,Semi-Furnished
Super Built-up,Under Construction,Sadashiv Peth,4 BHK,Society2,1500,4,2,53.69,4th,Fully Furnished
Built-up,Under Construction,Aundh,3 BHK,Society2,1200,1,3,97.84,2nd,Semi-Furnished
Super Built-up,Ready To Move,Magarpatta,4 BHK,Society3,1500,4,3,98.95,5th,Semi-Furnished
Built-up,Under Construction,Viman Nagar,1 BHK,Society5,800,4,3,94.47,1st,Unfurnished
Super Built-up,Ready To Move,Wakad,4 BHK,Society1,1500,2,1,72.65,1st,Unfurnished
Super Built-up,Under Construction,Kothrud,1 BHK,Society3,800,1,2,70.28,Top,Semi-Furnished
Carpet,Under Construction,Sadashiv Peth,4 BHK,Society5,1500,2,2,53.69,Top,Fully Furnished
Carpet,Under Construction,Sadashiv Peth,2 BHK,Society5,1000,2,2,48.37,Ground,Unfurnished
Built-up,Ready To Move,Magarpatta,1 BHK,Society2,800,2,1,90.65,5th,Fully Furnished
Super Built-up,Under Construction,Hinjawadi,2 BHK,Society1,1000,1,2,88.62,5th,Semi-Furnished
Built-up,Ready To Move,Wakad,2 BHK,Society2,1000,2,1,68.93,4th,Semi-Furnished
Super Built-up,Ready To Move,Magarpatta,3 BHK,Society2,1200,3,1,95.95,4th,Unfurnished
Carpet,Ready To Move,Wakad,4 BHK,Society4,1500,1,1,73.5,Ground,Fully Furnished
Built-up,Under Construction,Wakad,3 BHK,Society4,1200,1,1,71.46,4th,Semi-Furnished
Super Built-up,Ready To Move,Wakad,2 BHK,Society5,1000,2,3,67.51,4th,Semi-Furnished
Built-up,Under Construction,Kothrud,2 BHK,Society1,1000,2,2,73.21,Top,Semi-Furnished
Built-up,Under Construction,Magarpatta,4 BHK,Society1,1500,3,1,98.99,Top,Unfurnished
Super Built-up,Under Construction,Sadashiv Peth,1 BHK,Society4,800,3,1,45.6,3rd,Semi-Furnished
Carpet,Under Construction,Kothrud,3 BHK,Society4,1200,3,1,75.93,3rd,Semi-Furnished
Carpet,Ready To Move,Viman Nagar,1 BHK,Society2,800,3,1,94.98,5th,Unfurnished
Carpet,Under Construction,Hadapsar,1 BHK,Society4,800,4,1,49.93,3rd,Fully Furnished
Built-up,Ready To Move,Wakad,4 BHK,Society4,1500,2,1,72.91,5th,Semi-Furnished
Carpet,Under Construction,Magarpatta,4 BHK,Society4,1500,2,1,97.93,2nd,Fully Furnished
Carpet,Ready To Move,Pimpri-Chinchwad,2 BHK,Society1,1000,1,3,62.86,Ground,Unfurnished
Super Built-up,Ready To Move,Magarpatta,3 BHK,Society2,1200,2,3,95.45,Top,Semi-Furnished
Super Built-up,Under Construction,Pimpri-Chinchwad,2 BHK,Society1,1000,2,1,63.43,2nd,Unfurnished
Carpet,Under Construction,Magarpatta,3 BHK,Society1,1200,1,2,95.83,Top,Fully Furnished
Super Built-up,Ready To Move,Sadashiv Peth,2 BHK,Society1,1000,3,1,48.07,Ground,Fully Furnished
Super Built-up,Ready To Move,Kharadi,4 BHK,Society1,1500,2,3,98.69,Ground,Unfurnished
Carpet,Ready To Move,Wakad,1 BHK,Society4,800,1,2,64.73,2nd,Semi-Furnished
Super Built-up,Under Construction,Pimpri-Chinchwad,2 BHK,Society1,1000,4,2,63.04,2nd,Unfurnished
Carpet,Ready To Move,Hadapsar,2 BHK,Society3,1000,4,1,52.5,Top,Semi-Furnished
Super Built-up,Under Construction,Pashan,1 BHK,Society2,800,3,2,59.17,3rd,Semi-Furnished
Super Built-up,Ready To Move,Aundh,1 BHK,Society2,800,2,1,92.63,5th,Unfurnished
Carpet,Ready To Move,Pimpri-Chinchwad,4 BHK,Society4,1500,4,2,68.75,4th,Fully Furnished
Built-up,Under Construction,Aundh,4 BHK,Society1,1500,3,2,99.65,Ground,Semi-Furnished
Super Built-up,Ready To Move,Baner,3 BHK,Society5,1200,2,1,100.3,2nd,Semi-Furnished
Carpet,Ready To Move,Sadashiv Peth,4 BHK,Society2,1500,3,3,52.32,1st,Semi-Furnished
Built-up,Under Construction,Magarpatta,3 BHK,Society5,1200,2,3,95.82,2nd,Unfurnished
Built-up,Ready To Move,Magarpatta,1 BHK,Society2,800,3,2,90.41,1st,Fully Furnished
Carpet,Under Construction,Shivaji Nagar,4 BHK,Society2,1500,3,3,93.92,4th,Unfurnished
Super Built-up,Under Construction,Kothrud,4 BHK,Society5,1500,3,1,77.12,Top,Semi-Furnished
Carpet,Under Construction,Wakad,2 BHK,Society4,1000,1,1,67.73,4th,Semi-Furnished
Built-up,Under Construction,Baner,2 BHK,Society4,1000,2,2,98.3,2nd,Semi-Furnished
Built-up,Under Construction,Baner,2 BHK,Society1,1000,1,3,98.78,Ground,Unfurnished
Super Built-up,Under Construction,Kothrud,2 BHK,Society1,1000,4,3,73.58,Top,Semi-Furnished
Built-up,Ready To Move,Viman Nagar,1 BHK,Society3,800,4,2,95.65,4th,Unfurnished
Super Built-up,Ready To Move,Sadashiv Peth,1 BHK,Society3,800,2,2,45.77,Top,Semi-Furnished
Super Built-up,Ready To Move,Magarpatta,1 BHK,Society1,800,1,2,89.99,1st,Unfurnished
Built-up,Under Construction,Wakad,1 BHK,Society4,800,4,3,65.39,Ground,Fully Furnished
Built-up,Ready To Move,Hadapsar,3 BHK,Society4,1200,4,3,56.88,3rd,Unfurnished
Carpet,Ready To Move,Wakad,2 BHK,Society2,1000,3,1,68.73,3rd,Fully Furnished
Built-up,Ready To Move,Viman Nagar,1 BHK,Society2,800,4,3,94.88,Top,Fully Furnished
Carpet,Ready To Move,Shivaji Nagar,1 BHK,Society1,800,1,1,85.86,Ground,Unfurnished
Super Built-up,Under Construction,Shivaji Nagar,2 BHK,Society2,1000,3,1,88.68,2nd,Fully Furnished
Built-up,Under Construction,Shivaji Nagar,1 BHK,Society5,800,2,3,84.58,1st,Semi-Furnished
Built-up,Ready To Move,Sadashiv Peth,4 BHK,Society3,1500,3,2,52.89,2nd,Semi-Furnished
Built-up,Ready To Move,Pashan,3 BHK,Society3,1200,1,1,66.69,4th,Fully Furnished
Carpet,Under Construction,Shivaji Nagar,1 BHK,Society4,800,3,3,84.33,Ground,Unfurnished
Built-up,Ready To Move,Wakad,1 BHK,Society4,800,3,3,64.65,4th,Semi-Furnished
Built-up,Ready To Move,Viman Nagar,4 BHK,Society2,1500,3,1,103.48,5th,Fully Furnished
Built-up,Under Construction,Aundh,4 BHK,Society4,1500,3,3,100.88,2nd,Semi-Furnished
Carpet,Under Construction,Magarpatta,4 BHK,Society4,1500,4,3,97.8,3rd,Unfurnished
Super Built-up,Ready To Move,Baner,2 BHK,Society1,1000,2,1,98.49,2nd,Fully Furnished
Built-up,Ready To Move,Viman Nagar,2 BHK,Society2,1000,1,1,98.05,2nd,Unfurnished
Built-up,Ready To Move,Pimpri-Chinchwad,2 BHK,Society5,1000,3,1,63.91,2nd,Semi-Furnished
Carpet,Ready To Move,Kharadi,2 BHK,Society5,1000,3,2,93.94,3rd,Unfurnished
Super Built-up,Ready To Move,Kothrud,4 BHK,Society4,1500,1,3,77.39,5th,Semi-Furnished
Built-up,Ready To Move,Pimpri-Chinchwad,2 BHK,Society1,1000,2,3,63.44,Top,Unfurnished
Built-up,Under Construction,Kothrud,2 BHK,Society4,1000,4,3,73.47,3rd,Fully Furnished
Super Built-up,Ready To Move,Magarpatta,3 BHK,Society4,1200,3,2,96.09,5th,Unfurnished
Built-up,Under Construction,Magarpatta,3 BHK,Society2,1200,1,1,96.85,1st,Unfurnished
Built-up,Under Construction,Sadashiv Peth,2 BHK,Society1,1000,3,3,48.52,1st,Unfurnished
Super Built-up,Under Construction,Pashan,1 BHK,Society2,800,3,1,59.7,2nd,Semi-Furnished
Super Built-up,Under Construction,Baner,4 BHK,Society5,1500,4,1,102.25,5th,Unfurnished
Carpet,Under Construction,Aundh,4 BHK,Society2,1500,3,1,99.77,1st,Semi-Furnished
Super Built-up,Ready To Move,Sadashiv Peth,4 BHK,Society4,1500,4,1,52.32,1st,Fully Furnished
Carpet,Ready To Move,Shivaji Nagar,4 BHK,Society4,1500,2,2,92.05,Top,Unfurnished
Carpet,Ready To Move,Pimpri-Chinchwad,4 BHK,Society1,1500,3,3,67.84,4th,Unfurnished
Super Built-up,Ready To Move,Shivaji Nagar,3 BHK,Society5,1200,2,3,90.18,Ground,Fully Furnished
Built-up,Ready To Move,Hadapsar,2 BHK,Society3,1000,4,3,52.1,4th,Unfurnished
Built-up,Ready To Move,Kothrud,4 BHK,Society5,1500,1,1,77.41,5th,Semi-Furnished
Built-up,Ready To Move,Sadashiv Peth,2 BHK,Society1,1000,4,1,47.97,3rd,Semi-Furnished
Built-up,Under Construction,Magarpatta,2 BHK,Society1,1000,4,1,93.02,5th,Fully Furnished
Super Built-up,Ready To Move,Pashan,2 BHK,Society4,1000,3,2,63.46,1st,Fully Furnished
Super Built-up,Ready To Move,Hinjawadi,1 BHK,Society1,800,3,2,85.14,3rd,Unfurnished
Super Built-up,Under Construction,Pimpri-Chinchwad,3 BHK,Society1,1200,1,3,66.59,Ground,Fully Furnished
Carpet,Ready To Move,Pimpri-Chinchwad,2 BHK,Society2,1000,2,3,63.93,1st,Semi-Furnished
Super Built-up,Ready To Move,Pimpri-Chinchwad,1 BHK,Society5,800,1,1,60.41,3rd,Semi-Furnished
Carpet,Under Construction,Baner,2 BHK,Society4,1000,3,2,98.08,4th,Unfurnished
Super Built-up,Under Construction,Baner,3 BHK,Society5,1200,1,3,101.86,2nd,Unfurnished
Built-up,Ready To Move,Pashan,4 BHK,Society5,1500,1,3,68.62,4th,Fully Furnished
Carpet,Under Construction,Hadapsar,4 BHK,Society2,1500,4,2,57.61,Top,Unfurnished
Built-up,Ready To Move,Viman Nagar,4 BHK,Society5,1500,3,3,103.36,2nd,Fully Furnished
Built-up,Under Construction,Hadapsar,2 BHK,Society2,1000,1,2,52.26,Ground,Semi-Furnished
Carpet,Ready To Move,Aundh,4 BHK,Society1,1500,1,2,99.23,5th,Unfurnished
Carpet,Under Construction,Pimpri-Chinchwad,3 BHK,Society2,1200,3,2,66.83,4th,Fully Furnished
Super Built-up,Ready To Move,Baner,4 BHK,Society2,1500,2,2,103.34,2nd,Unfurnished
Carpet,Ready To Move,Aundh,1 BHK,Society2,800,3,3,92.09,4th,Semi-Furnished
Super Built-up,Under Construction,Magarpatta,1 BHK,Society1,800,1,3,89.37,Top,Fully Furnished
Carpet,Ready To Move,Kothrud,2 BHK,Society4,1000,1,3,73.33,Top,Semi-Furnished
Carpet,Ready To Move,Baner,3 BHK,Society4,1200,2,1,101.03,3rd,Unfurnished
Carpet,Under Construction,Magarpatta,4 BHK,Society3,1500,2,3,98.53,1st,Unfurnished
Built-up,Under Construction,Kharadi,3 BHK,Society4,1200,3,1,96.03,2nd,Semi-Furnished
Built-up,Under Construction,Wakad,2 BHK,Society2,1000,2,3,68.62,Ground,Unfurnished
Carpet,Ready To Move,Baner,1 BHK,Society5,800,3,3,95.27,2nd,Unfurnished
Built-up,Ready To Move,Aundh,4 BHK,Society2,1500,1,3,99.32,2nd,Unfurnished
Carpet,Under Construction,Sadashiv Peth,2 BHK,Society1,1000,1,2,47.1,Ground,Semi-Furnished
Super Built-up,Ready To Move,Hinjawadi,4 BHK,Society4,1500,4,1,92.43,1st,Unfurnished
Super Built-up,Ready To Move,Sadashiv Peth,3 BHK,Society5,1200,1,2,50.58,4th,Unfurnished
Super Built-up,Ready To Move,Baner,4 BHK,Society4,1500,2,2,103.24,1st,Unfurnished
Carpet,Under Construction,Wakad,3 BHK,Society4,1200,1,3,70.59,Ground,Semi-Furnished
Super Built-up,Ready To Move,Kothrud,3 BHK,Society5,1200,2,1,75.67,4th,Fully Furnished
Carpet,Ready To Move,Aundh,2 BHK,Society4,1000,1,2,94.57,2nd,Fully Furnished
Built-up,Ready To Move,Pashan,3 BHK,Society5,1200,4,2,66.41,2nd,Unfurnished
Super Built-up,Ready To Move,Hinjawadi,2 BHK,Society3,1000,3,1,88.69,1st,Semi-Furnished
Super Built-up,Ready To Move,Magarpatta,4 BHK,Society1,1500,2,1,98.88,3rd,Semi-Furnished
Carpet,Under Construction,Wakad,4 BHK,Society3,1500,2,3,73.51,Ground,Unfurnished
Carpet,Ready To Move,Aundh,4 BHK,Society1,1500,4,1,99.82,2nd,Unfurnished
Built-up,Under Construction,Pimpri-Chinchwad,4 BHK,Society2,1500,2,3,68.21,Top,Fully Furnished
Super Built-up,Under Construction,Sadashiv Peth,4 BHK,Society5,1500,3,3,52.71,Top,Semi-Furnished
Carpet,Under Construction,Viman Nagar,1 BHK,Society2,800,3,3,94.91,4th,Fully Furnished
Carpet,Under Construction,Shivaji Nagar,1 BHK,Society1,800,1,2,84.7,5th,Unfurnished
Built-up,Under Construction,Kothrud,4 BHK,Society2,1500,1,1,78.02,Ground,Semi-Furnished
Super Built-up,Under Construction,Wakad,2 BHK,Society3,1000,1,1,68.05,1st,Fully Furnished
Carpet,Under Construction,Pimpri-Chinchwad,1 BHK,Society2,800,1,3,59.21,3rd,Unfurnished
Built-up,Ready To Move,Kharadi,2 BHK,Society3,1000,2,1,93.68,Top,Fully Furnished
Carpet,Ready To Move,Kothrud,1 BHK,Society1,800,1,3,69.92,1st,Unfurnished
Carpet,Ready To Move,Wakad,1 BHK,Society4,800,4,1,65.54,3rd,Unfurnished
Built-up,Under Construction,Aundh,4 BHK,Society4,1500,4,2,100.1,Ground,Fully Furnished
Built-up,Under Construction,Kharadi,2 BHK,Society3,1000,4,1,93.09,2nd,Unfurnished
Carpet,Under Construction,Magarpatta,1 BHK,Society1,800,4,2,90.51,Top,Semi-Furnished
Built-up,Ready To Move,Kharadi,4 BHK,Society3,1500,4,1,98.03,4th,Semi-Furnished
Built-up,Ready To Move,Kothrud,3 BHK,Society5,1200,3,1,76.6,1st,Semi-Furnished
Built-up,Under Construction,Magarpatta,1 BHK,Society2,800,1,3,90.45,3rd,Unfurnished
Built-up,Under Construction,Pimpri-Chinchwad,4 BHK,Society3,1500,2,1,68.62,4th,Unfurnished
Super Built-up,Ready To Move,Hinjawadi,2 BHK,Society1,1000,2,1,87.56,Top,Unfurnished
Built-up,Under Construction,Shivaji Nagar,2 BHK,Society1,1000,1,1,88.6,3rd,Semi-Furnished
Built-up,Under Construction,Sadashiv Peth,2 BHK,Society4,1000,4,2,48.16,5th,Semi-Furnished
Carpet,Ready To Move,Magarpatta,1 BHK,Society3,800,2,3,89.9,1st,Fully Furnished
Carpet,Under Construction,Kharadi,4 BHK,Society4,1500,3,1,97.77,4th,Semi-Furnished
Carpet,Ready To Move,Kharadi,2 BHK,Society5,1000,1,3,92.4,1st,Semi-Furnished
Built-up,Under Construction,Kothrud,3 BHK,Society5,1200,4,3,76.68,5th,Fully Furnished
Super Built-up,Ready To Move,Aundh,2 BHK,Society4,1000,1,3,95.15,2nd,Unfurnished
Super Built-up,Ready To Move,Kharadi,4 BHK,Society2,1500,3,3,98.27,4th,Fully Furnished
Carpet,Under Construction,Viman Nagar,2 BHK,Society3,1000,2,1,97.37,3rd,Fully Furnished
Carpet,Ready To Move,Pashan,4 BHK,Society3,1500,4,1,67.75,Ground,Unfurnished
Super Built-up,Under Construction,Baner,3 BHK,Society4,1200,4,2,101.56,3rd,Semi-Furnished
Super Built-up,Ready To Move,Sadashiv Peth,4 BHK,Society5,1500,3,1,52.51,Ground,Fully Furnished
Built-up,Under Construction,Baner,2 BHK,Society1,1000,4,2,98.12,Top,Semi-Furnished
Built-up,Ready To Move,Hadapsar,3 BHK,Society5,1200,3,1,56.01,1st,Fully Furnished
